"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"190";"IT: Fratelli d'Italia";0,129720930344674;0,147293555490015;0,278696455856944;0,315433457346263;2317;0,169573085042626;29;1;0
"191";"IT: La destra";0,111335692966365;0,124441551979212;0,260311218478635;0,292581453835459;2317;0,003146032452188;42;0;0
"192";"IT: Lega Nord";0,057698943595204;0,0651957882513729;0,206674469107474;0,23333569010762;2317;-0,195673814437774;76;1;0
"193";"IT: Movimento 5 Stelle";0,145870849178081;0,167471122230492;0,294846374690351;0,335611024086739;2317;0,175495251132046;229;0;1
"194";"IT: not eligible: age";0,180107829648206;0,209600160095588;0,329083355160476;0,377740061951836;2317;0,245181149057855;154;0;0
"195";"IT: not eligible: citizenship";0,17269181488972;0,196682323750074;0,32166734040199;0,364822225606321;2317;0,0566723639470248;57;0;0
"196";"IT: not eligible: other";0,136457645051008;0,156588748466568;0,285433170563278;0,324728650322815;2317;-0,241941062435758;15;0;0
"197";"IT: Other";0,201960285629315;0,230610960365041;0,350935811141585;0,398750862221289;2317;0,471405471031633;31;0;0
"198";"IT: Partido Democratico (PD)";0,20210669556117;0,227100832281587;0,35108222107344;0,395240734137834;2317;0,268192604897006;334;0;0
"199";"IT: Popolo delle Libertà (PdL)";0,17388167023151;0,195170388583574;0,32285719574378;0,363310290439821;2317;0,313304131932879;109;1;0
"200";"IT: Refusal";0,117572636650309;0,138530713303146;0,266548162162579;0,306670615159394;2317;0,125886062894522;504;0;0
"201";"IT: Rivoluzione Civile (Ingroia)";0,179262098498241;0,209415778475513;0,328237624010511;0,377555680331761;2317;0,862554346113913;4;0;1
"202";"IT: Scelta Civica (con Monti)";0,160035454160859;0,181912879558053;0,309010979673129;0,350052781414301;2317;0,691023319080643;5;0;0
"203";"IT: Sinistra Ecologia e Libertà (SEL)";0,196384439536663;0,237115686610328;0,345359965048933;0,405255588466575;2317;0,42765519056554;27;0;1
"204";"IT: UDC";0,172712154598054;0,195611534831314;0,321687680110324;0,363751436687561;2317;0,684247217346161;9;0;0
"205";"LT: did not vote";0,153540959626037;0,169858151782787;0,206864705529278;0,245517722419611;1927;0,0869216125541112;777;0;0
"206";"LT: Don't know";0,154776056117927;0,180241308807716;0,208099802021168;0,255900879444539;1927;0,166248188714187;28;0;0
